features	levels	decision	cuts	supportLHS	supportRHS	accuracyRHS	coverageLHS	coverageRHS	stabilityLHS	stabilityRHS	cut1	cut2	cut3	cut4	supportRatioLHS	supportRatioRHS	pValue	riskRatio	pValueRiskRatio	confIntRiskRatio	cut5
LOC701920	1	NonProt	value<cut	12	12	0.91987	0.35714	0.63889	1	1	5.27				0.63158	0.63158	0.0131548996955004	Inf	0.0253479650718482	-Inf:Inf	
TMX2	3	Prot	value>cut	10	10	0.90455	0.29563	0.48684	1	1	3.24				0.5	0.5	0.296716070909619	Inf	0.427163780627783	-Inf:Inf	
KIR3DL0	1	NonProt	value<cut	12	11	0.91667	0.34286	0.61111	1	1	2.9505				0.63158	0.57895	0.407801890560512	11.5789473684211	0.422350028633934	1.65:81.258	
KRTAP29.1	2	NonProt	cut<value<cut	12	11	0.91667	0.34286	0.61111	1	1	-5.023	-4.338			0.63158	0.57895	0.407801890560512	11.5789473684211	0.422350028633934	1.65:81.258	
LOC702786	2	NonProt	cut<value<cut	12	11	0.91667	0.34286	0.61111	1	1	-5.0229	-2.3455			0.63158	0.57895	0.407801890560512	11.5789473684211	0.422350028633934	1.65:81.258	
LOC709056	1	NonProt	value<cut	12	11	0.88889	0.33968	0.61574	1	1	-0.40267				0.63158	0.57895	0.407801890560512	11.5789473684211	0.422350028633934	1.65:81.258	
X00000037843	1	Prot	value<cut	12	11	0.91667	0.3415	0.60346	1	1	2.46806				0.6	0.55	0.866030896620438	10.45	0.917789956664443	1.489:73.335	
VSTM1	1	Prot	value<cut	12	11	0.91667	0.3415	0.60346	1	1	4.34514				0.6	0.55	0.866030896620438	10.45	0.917789956664443	1.489:73.335	
STARD8	2	Prot	cut<value<cut	12	11	0.91667	0.34286	0.57895	1	1	0.6394	1.4946			0.6	0.55	0.866030896620438	10.45	0.917789956664443	1.489:73.335	
LTC4S	1	Prot	value<cut	12	11	0.91667	0.34286	0.64706	1	1	-0.4734				0.6	0.55	0.866030896620438	10.45	0.917789956664443	1.489:73.335	
FABP5	1	Prot	value<cut	12	11	0.91667	0.33333	0.55	1	1	1.9987				0.6	0.55	0.866030896620438	10.45	0.917789956664443	1.489:73.335	
X00000064715	3	Prot	value>cut	11	10	0.90909	0.31429	0.54094	1	1	1.8839				0.55	0.5	1	9.5	1	1.342:67.267	
LOC701920,KRTAP29.1	3,1	Prot	value>cut,value<cut	7	6	0.85714	0.2	0.33333	1	1	5.525	-5.0055			0.35	0.3	1	5.7	1	0.755:43.043	
THRB,X00000058729	1,3	Prot	value<cut,value>cut	7	6	0.88929	0.2	0.34486	1	1	-4.87374	-2.3494			0.35	0.3	1	5.7	1	0.755:43.043	
TMEM38A,X00000058729	1,3	Prot	value<cut,value>cut	8	6	0.86607	0.21429	0.37091	1	1	2.7915	-2.3497			0.4	0.3	1	2.85	1	0.654:12.42	
LOC709056,SDK2	3,3	Prot	value>cut,value>cut	7	6	0.89732	0.19861	0.3394	1	1	0.6909	0.59215			0.35	0.3	1	5.7	1	0.755:43.043	
KRTAP29.1,LTC4S	1,1	Prot	value<cut,value<cut	7	6	0.85714	0.2	0.33402	1	1	-5.02017	-0.464			0.35	0.3	1	5.7	1	0.755:43.043	
LOC719667,KRTAP29.1	1,1	Prot	value<cut,value<cut	7	6	0.85714	0.2	0.33333	1	1	4.2055	-5.0055			0.35	0.3	1	5.7	1	0.755:43.043	
STARD8,X00000058729	2,3	Prot	cut<value<cut,value>cut	7	6	0.90476	0.19048	0.32748	1	1	0.64323	1.4421	-2.39103		0.35	0.3	1	5.7	1	0.755:43.043	
X00000037843,KRTAP29.1	1,1	Prot	value<cut,value<cut	6	6	1	0.17143	0.33333	1	1	2.4673	-5.0055			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000037843,LOC719667	1,1	Prot	value<cut,value<cut	6	6	1	0.17143	0.33333	1	1	2.4673	4.2055			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000053012,ZNF576	2,2	Prot	cut<value<cut,cut<value<cut	7	7	0.96429	0.19861	0.3759	1	1	2.5784	2.86305	3.746	3.94237	0.35	0.35	1	Inf	1	-Inf:Inf	
LOC715623,X00000058729	3,3	Prot	value>cut,value>cut	7	6	0.92857	0.19147	0.33867	1	1	-0.63882	-2.41852			0.35	0.3	1	5.7	1	0.755:43.043	
LTC4S,X00000058729	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33402	1	1	-0.464	-2.4671			0.3	0.3	1	Inf	1	-Inf:Inf	
LOC719667,LOC701920	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33333	1	1	4.2055	5.525			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000037843,LOC702786	1,1	Prot	value<cut,value<cut	6	6	1	0.17143	0.33333	1	1	2.4673	-5.0053			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000037843,X00000058729	1,3	Prot	value<cut,value>cut	7	7	1	0.18802	0.36715	1	1	2.47125	-2.32906			0.35	0.35	1	Inf	1	-Inf:Inf	
X00000064715,HCN2	3,1	Prot	value>cut,value<cut	6	6	1	0.17143	0.33333	1	1	1.789	-2.7443			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000064369,X00000058729	1,1	NonProt	value<cut,value<cut	7	6	0.85714	0.2	0.35294	1	1	2.5624	-4.6471			0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
X00000064715,LOC709056	2,1	NonProt	cut<value<cut,value<cut	7	6	0.90476	0.19048	0.33987	1	1	-0.0597	1.81807	-0.43657		0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
X00000064715,ESR1	2,1	NonProt	cut<value<cut,value<cut	6	6	1	0.17143	0.33987	1	1	-0.0597	1.81807	0.55437		0.31579	0.31579	1	Inf	1	-Inf:Inf	
X00000064715,THRB	2,3	NonProt	cut<value<cut,value>cut	6	6	1	0.17143	0.33987	1	1	-0.0597	1.81807	-3.1894		0.31579	0.31579	1	Inf	1	-Inf:Inf	
X00000053274,X00000064369	1,1	NonProt	value<cut,value<cut	6	6	1	0.18034	0.36878	1	1	-0.3548	2.5773			0.31579	0.31579	1	Inf	1	-Inf:Inf	
ESR1,MYH15	1,3	NonProt	value<cut,value>cut	6	6	1	0.17143	0.35294	1	1	0.6029	-1.484			0.31579	0.31579	1	Inf	1	-Inf:Inf	
FABP5,LAMC1	3,3	NonProt	value>cut,value>cut	6	6	1	0.17399	0.35852	1	1	2.48146	1.7959			0.31579	0.31579	1	Inf	1	-Inf:Inf	
RBM46,X00000059995	3,2	Prot	value>cut,cut<value<cut	7	6	0.86161	0.20575	0.3394	1	1	-1.14562	-0.39362	0.66035		0.35	0.3	1	5.7	1	0.755:43.043	
LOC701920,X00000059995	2,2	Prot	cut<value<cut,cut<value<cut	7	6	0.85714	0.2	0.33333	1	1	5.2565	5.525	-0.2925	0.6708	0.35	0.3	1	5.7	1	0.755:43.043	
LOC701920,C5H4orf45	2,1	Prot	cut<value<cut,value<cut	8	6	0.86607	0.21336	0.35922	1	1	5.26133	5.5275	0.18078		0.4	0.3	1	2.85	1	0.654:12.42	
X00000053274,X00000064313	3,2	Prot	value>cut,cut<value<cut	7	6	0.90476	0.19048	0.34641	1	1	1.3482	-2.666	-1.27233		0.35	0.3	1	5.7	1	0.755:43.043	
TMX2,LAMC1	3,2	Prot	value>cut,cut<value<cut	7	6	0.90476	0.18889	0.31637	1	1	3.24	0.9085	1.77247		0.35	0.3	1	5.7	1	0.755:43.043	
RBM46,TRIM16	3,3	Prot	value>cut,value>cut	6	6	1	0.17143	0.34314	1	1	-1.06058	-0.96295			0.3	0.3	1	Inf	1	-Inf:Inf	
C5H4orf45,X00000060253	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33416	1	1	0.23172	2.05402			0.3	0.3	1	Inf	1	-Inf:Inf	
STARD8,TMX2	1,3	Prot	value<cut,value>cut	6	6	1	0.17857	0.35483	1	1	0.65991	3.23806			0.3	0.3	1	Inf	1	-Inf:Inf	
LOC719667,TMX2	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.32456	1	1	4.10025	3.24			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000060253,X00000059995	3,2	Prot	value>cut,cut<value<cut	7	6	0.96875	0.19286	0.37663	1	1	2.04115	-0.39853	0.64223		0.35	0.3	1	5.7	1	0.755:43.043	
LOC719667	3	NonProt	value>cut	11	10	0.90909	0.31429	0.56373	1	1	4.9985				0.57895	0.52632	1	10.5263157894737	1	1.487:74.534	
LOC719667,X00000060253	3,2	NonProt	value>cut,cut<value<cut	6	6	0.92857	0.18571	0.36397	1	1	4.964	1.2214	2.0577		0.31579	0.31579	1	Inf	1	-Inf:Inf	
X00000037843,LOC719667	2,3	NonProt	cut<value<cut,value>cut	6	6	1	0.17143	0.35294	1	1	2.4673	2.7623	4.964		0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC719667,LOC709056	3,1	NonProt	value>cut,value<cut	7	7	0.98611	0.19621	0.40001	1	1	4.98639	-0.41689			0.36842	0.36842	1	Inf	1	-Inf:Inf	
LOC701920,C5H4orf45	1,3	NonProt	value<cut,value>cut	7	6	0.84184	0.20317	0.34769	1	1	5.25507	1.7578			0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
LOC701920,TRIM16	1,1	NonProt	value<cut,value<cut	7	6	0.89286	0.19286	0.35907	1	1	5.26025	-1.67452			0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
TMX2,LOC701920	1,1	NonProt	value<cut,value<cut	7	6	0.97143	0.18857	0.37631	1	1	2.8886	5.2619			0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
TARM1,ZNF576	2,1	NonProt	cut<value<cut,value<cut	7	6	0.85714	0.2	0.34314	1	1	1.32055	2.0381	3.751		0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
LOC701920,KRTAP29.1	1,2	NonProt	value<cut,cut<value<cut	9	8	0.91333	0.26286	0.48889	1	1	5.2541	-4.987	-1.8781		0.47368	0.42105	1	8.42105263157895	1	1.161:61.099	
VSTM1,A1BG	3,1	NonProt	value>cut,value<cut	7	6	0.90476	0.19048	0.33987	1	1	5.18617	-1.9115			0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
DLK1,X00000060253	3,1	NonProt	value>cut,value<cut	7	6	0.85714	0.2	0.35294	1	1	-0.1047	1.2214			0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
LOC701920,DLK1	1,3	NonProt	value<cut,value>cut	8	7	0.89236	0.23135	0.42999	1	1	5.25863	-0.03337			0.42105	0.36842	1	7.36842105263158	1	0.998:54.391	
LOC701920,LOC702786	1,2	NonProt	value<cut,cut<value<cut	9	8	0.90208	0.25714	0.47263	1	1	5.25538	-4.97151	-1.74786		0.47368	0.42105	1	8.42105263157895	1	1.161:61.099	
VSTM1,LTC4S	3,3	NonProt	value>cut,value>cut	7	6	0.88929	0.20571	0.36797	1	1	5.228	0.6264			0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
X00000053012,LTC4S	1,3	NonProt	value<cut,value>cut	7	6	0.88929	0.20571	0.36797	1	1	2.57564	0.61468			0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
LOC709056,LOC701920	1,1	NonProt	value<cut,value<cut	8	8	1	0.225	0.45706	1	1	-0.40942	5.25538			0.42105	0.42105	1	Inf	1	-Inf:Inf	
LOC701920,THRB	1,2	NonProt	value<cut,cut<value<cut	6	6	1	0.17143	0.35294	1	1	5.2565	-4.88715	-3.07415		0.31579	0.31579	1	Inf	1	-Inf:Inf	
VSTM1,KRTAP29.1	3,2	NonProt	value>cut,cut<value<cut	7	7	1	0.19093	0.40272	1	1	5.20586	-5.00121	-1.21657		0.36842	0.36842	1	Inf	1	-Inf:Inf	
LOC719667,LOC701920	3,1	NonProt	value>cut,value<cut	7	7	1	0.20891	0.43237	1	1	4.98639	5.25406			0.36842	0.36842	1	Inf	1	-Inf:Inf	
LOC701920,LILRB1	1,3	NonProt	value<cut,value>cut	6	6	1	0.1788	0.37693	1	1	5.25507	7.73143			0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC701920,ZNF576	1,1	NonProt	value<cut,value<cut	7	7	1	0.19216	0.39486	1	1	5.25375	3.74763			0.36842	0.36842	1	Inf	1	-Inf:Inf	
LILRB1,USP31	3,2	NonProt	value>cut,cut<value<cut	6	6	1	0.17619	0.3567	1	1	7.7569	0.15826	0.70688		0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC719667,DLK1	3,3	NonProt	value>cut,value>cut	7	7	1	0.19944	0.40931	1	1	4.98415	-0.00348			0.36842	0.36842	1	Inf	1	-Inf:Inf	
LTC4S,X00000058729	3,2	NonProt	value>cut,cut<value<cut	6	6	1	0.17143	0.35294	1	1	0.685	-4.6471	-2.3497		0.31579	0.31579	1	Inf	1	-Inf:Inf	
VSTM1,LOC701920	3,1	NonProt	value>cut,value<cut	7	7	1	0.20882	0.42947	1	1	5.19733	5.25706			0.36842	0.36842	1	Inf	1	-Inf:Inf	
LOC701920,X00000058729	1,2	NonProt	value<cut,cut<value<cut	6	6	1	0.17143	0.35376	1	1	5.2615	-4.6976	-2.4671		0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC701920,X00000053012	1,1	NonProt	value<cut,value<cut	9	8	0.98765	0.24365	0.49746	1	1	5.25839	2.57657			0.47368	0.42105	1	8.42105263157895	1	1.161:61.099	
LOC701920,X00000056965	1,1	NonProt	value<cut,value<cut	6	6	1	0.1754	0.36683	1	1	5.26333	-3.45592			0.31579	0.31579	1	Inf	1	-Inf:Inf	
X00000064715,TRIM16	2,1	NonProt	cut<value<cut,value<cut	6	6	1	0.17143	0.33725	1	1	-0.06644	1.84448	-1.76526		0.31579	0.31579	1	Inf	1	-Inf:Inf	
X00000064715,LOC701920	2,1	NonProt	cut<value<cut,value<cut	6	6	1	0.18571	0.37725	1	1	-0.0597	1.88472	5.26325		0.31579	0.31579	1	Inf	1	-Inf:Inf	
X00000064715,CBS	2,1	NonProt	cut<value<cut,value<cut	7	6	0.85714	0.2	0.35294	1	1	-0.0597	1.789	-1.674		0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
X00000053274,ESR1	1,1	NonProt	value<cut,value<cut	7	6	0.87755	0.19512	0.35679	1	1	-0.342	0.57193			0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
X00000053274,X00000037843	1,2	NonProt	value<cut,cut<value<cut	6	6	1	0.17714	0.36127	1	1	-0.3751	2.47186	2.8798		0.31579	0.31579	1	Inf	1	-Inf:Inf	
X00000053274,X00000059995	1,1	NonProt	value<cut,value<cut	6	6	1	0.16984	0.35376	1	1	-0.45233	-0.3794			0.31579	0.31579	1	Inf	1	-Inf:Inf	
FABP5,TMEM38A	3,2	NonProt	value>cut,cut<value<cut	7	7	1	0.19286	0.39445	1	1	2.47014	2.78569	3.22081		0.36842	0.36842	1	Inf	1	-Inf:Inf	
X00000053274,X00000060253	1,2	NonProt	value<cut,cut<value<cut	6	6	1	0.17143	0.34314	1	1	-0.4787	1.2214	2.0577		0.31579	0.31579	1	Inf	1	-Inf:Inf	
FABP5,X00000053274	3,1	NonProt	value>cut,value<cut	6	6	1	0.17143	0.34951	1	1	2.51568	-0.34384			0.31579	0.31579	1	Inf	1	-Inf:Inf	
X00000064369,LAMC1	1,3	NonProt	value<cut,value>cut	7	7	1	0.20714	0.41825	1	1	2.57916	1.77284			0.36842	0.36842	1	Inf	1	-Inf:Inf	
X00000060146,LAMC1	1,1	Prot	value<cut,value<cut	7	6	0.89286	0.19147	0.32061	1	1	-4.82838	0.92522			0.35	0.3	1	5.7	1	0.755:43.043	
FABP5,ESR1	1,3	Prot	value<cut,value>cut	8	7	0.8852	0.21542	0.37396	1	1	1.99139	1.05953			0.4	0.35	1	6.65	1	0.901:49.088	
USP31,SMIM2	1,1	Prot	value<cut,value<cut	7	6	0.88393	0.20476	0.35982	1	1	0.16395	-0.26458			0.35	0.3	1	5.7	1	0.755:43.043	
RBM46,USP31	3,1	Prot	value>cut,value<cut	6	6	1	0.17619	0.35621	1	1	-1.07568	0.1676			0.3	0.3	1	Inf	1	-Inf:Inf	
ESR1,X00000060253	3,3	Prot	value>cut,value>cut	6	6	1	0.17024	0.3348	1	1	1.04262	2.05162			0.3	0.3	1	Inf	1	-Inf:Inf	
ESR1,SMIM2	3,1	Prot	value>cut,value<cut	6	6	1	0.17143	0.33402	1	1	1.05813	-0.25503			0.3	0.3	1	Inf	1	-Inf:Inf	
VSTM1,ESR1	1,3	Prot	value<cut,value>cut	6	6	0.97959	0.18288	0.35252	1	1	4.37486	1.04944			0.3	0.3	1	Inf	1	-Inf:Inf	
FABP5,VSTM1	1,1	Prot	value<cut,value<cut	6	6	1	0.18145	0.35023	1	1	1.99022	4.37131			0.3	0.3	1	Inf	1	-Inf:Inf	
TARM1,ESR1	1,3	Prot	value<cut,value>cut	6	6	0.92857	0.18571	0.34314	1	1	1.3287	1.05385			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000037843,VSTM1	1,1	Prot	value<cut,value<cut	8	8	1	0.2223	0.4349	1	1	2.47125	4.40335			0.4	0.4	1	Inf	1	-Inf:Inf	
ESR1,LTC4S	3,1	Prot	value>cut,value<cut	6	6	1	0.17551	0.34513	1	1	1.06024	-0.45371			0.3	0.3	1	Inf	1	-Inf:Inf	
LOC701920,X00000060253	2,3	Prot	cut<value<cut,value>cut	6	6	1	0.17143	0.33333	1	1	5.2565	5.525	2.0577		0.3	0.3	1	Inf	1	-Inf:Inf	
X00000037843,ESR1	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.34314	1	1	2.473	1.05385			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000037843,HCN2	1,1	Prot	value<cut,value<cut	6	6	1	0.17143	0.34314	1	1	2.473	-2.7443			0.3	0.3	1	Inf	1	-Inf:Inf	
STARD8,ESR1	2,3	Prot	cut<value<cut,value>cut	6	6	1	0.17143	0.33402	1	1	0.6777	1.47293	1.0662		0.3	0.3	1	Inf	1	-Inf:Inf	
X00000053274,DLK1	2,2	Prot	cut<value<cut,cut<value<cut	6	6	1	0.17143	0.33333	1	1	-0.32145	1.49005	-1.88425	-0.1299	0.3	0.3	1	Inf	1	-Inf:Inf	
X00000060253	3	Prot	value>cut	11	10	0.90909	0.31429	0.55556	1	1	2.0577				0.55	0.5	1	9.5	1	1.342:67.267	
TARM1,A1BG	1,3	Prot	value<cut,value>cut	7	6	0.92857	0.19048	0.34898	1	1	1.3571	-1.4275			0.35	0.3	1	5.7	1	0.755:43.043	
VSTM1,C5H4orf45	1,1	Prot	value<cut,value<cut	7	6	0.85714	0.2	0.34314	1	1	4.51425	0.3585			0.35	0.3	1	5.7	1	0.755:43.043	
STARD8,SMIM2	2,1	Prot	cut<value<cut,value<cut	7	6	0.85714	0.2	0.32164	1	1	0.65223	1.46377	-0.26567		0.35	0.3	1	5.7	1	0.755:43.043	
VSTM1,X00000053012	1,3	Prot	value<cut,value>cut	8	7	0.90179	0.21429	0.3805	1	1	4.46225	2.86305			0.4	0.35	1	6.65	1	0.901:49.088	
VSTM1,DLK1	1,1	Prot	value<cut,value<cut	7	6	0.8631	0.20952	0.36601	1	1	4.45833	-1.814			0.35	0.3	1	5.7	1	0.755:43.043	
VSTM1,THRB	1,1	Prot	value<cut,value<cut	7	6	0.98611	0.18668	0.3567	1	1	4.38272	-4.86854			0.35	0.3	1	5.7	1	0.755:43.043	
C5H4orf45,SMIM2	1,1	Prot	value<cut,value<cut	7	6	0.88095	0.19907	0.33397	1	1	0.20205	-0.2724			0.35	0.3	1	5.7	1	0.755:43.043	
RBM46,DLK1	3,1	Prot	value>cut,value<cut	6	6	1	0.17483	0.33388	1	1	-1.10091	-1.86344			0.3	0.3	1	Inf	1	-Inf:Inf	
TNNT2,USP31	1,1	Prot	value<cut,value<cut	6	6	1	0.18095	0.36166	1	1	-2.38093	0.12858			0.3	0.3	1	Inf	1	-Inf:Inf	
RBM46,X00000060253	3,3	Prot	value>cut,value>cut	6	6	1	0.18016	0.34991	1	1	-1.04902	2.06753			0.3	0.3	1	Inf	1	-Inf:Inf	
LOC709056,X00000059995	2,2	Prot	cut<value<cut,cut<value<cut	6	6	1	0.17143	0.33402	1	1	-0.38013	0.74747	-0.36533	0.68733	0.3	0.3	1	Inf	1	-Inf:Inf	
TARM1,USP31	1,1	Prot	value<cut,value<cut	7	7	1	0.20384	0.39875	1	1	1.3367	0.12113			0.35	0.35	1	Inf	1	-Inf:Inf	
X00000037843,A1BG	1,3	Prot	value<cut,value>cut	7	7	1	0.21199	0.41176	1	1	2.47042	-1.44604			0.35	0.35	1	Inf	1	-Inf:Inf	
RBM46,C5H4orf45	3,1	Prot	value>cut,value<cut	6	6	1	0.17143	0.32456	1	1	-1.18535	0.1759			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000053012,ZNF576	3,3	Prot	value>cut,value>cut	7	7	1	0.18849	0.36837	1	1	2.86586	3.94206			0.35	0.35	1	Inf	1	-Inf:Inf	
TMEM38A,A1BG	1,3	Prot	value<cut,value>cut	6	6	1	0.17048	0.33451	1	1	2.7702	-1.43124			0.3	0.3	1	Inf	1	-Inf:Inf	
STARD8,X00000060253	2,3	Prot	cut<value<cut,value>cut	6	6	1	0.17891	0.34508	1	1	0.62999	1.4399	2.05759		0.3	0.3	1	Inf	1	-Inf:Inf	
RBM46,MAOA	3,1	Prot	value>cut,value<cut	6	6	1	0.17143	0.33333	1	1	-1.2248	0.2298			0.3	0.3	1	Inf	1	-Inf:Inf	
TNNT2,RBM46	1,3	Prot	value<cut,value>cut	6	6	1	0.18095	0.35839	1	1	-2.38473	-1.03213			0.3	0.3	1	Inf	1	-Inf:Inf	
FABP5,LILRB1	2,1	Prot	cut<value<cut,value<cut	6	6	1	0.17143	0.33333	1	1	1.9859	2.572	7.255		0.3	0.3	1	Inf	1	-Inf:Inf	
STARD8,X00000053012	1,2	Prot	value<cut,cut<value<cut	7	6	0.86161	0.20714	0.34284	1	1	0.6519	2.59872	2.88135		0.35	0.3	1	5.7	1	0.755:43.043	
STARD8,LAMC1	1,2	Prot	value<cut,cut<value<cut	7	6	0.97959	0.18708	0.35879	1	1	0.66117	0.91806	1.78641		0.35	0.3	1	5.7	1	0.755:43.043	
X00000053012,LOC715623	2,3	Prot	cut<value<cut,value>cut	6	6	1	0.17143	0.33333	1	1	2.5668	2.8731	-0.4805		0.3	0.3	1	Inf	1	-Inf:Inf	
LOC715623,C5H4orf45	3,1	Prot	value>cut,value<cut	6	6	1	0.17143	0.33385	1	1	-0.53615	0.1759			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000064715,USP31	3,1	Prot	value>cut,value<cut	7	7	1	0.19087	0.37303	1	1	1.93282	0.12571			0.35	0.35	1	Inf	1	-Inf:Inf	
TRIM16,ZNF576	3,2	Prot	value>cut,cut<value<cut	7	6	0.85714	0.2	0.33333	1	1	-1.0518	3.741	3.9475		0.35	0.3	1	5.7	1	0.755:43.043	
RBM46,SMIM2	3,1	Prot	value>cut,value<cut	7	6	0.89732	0.20714	0.36662	1	1	-1.1131	-0.2631			0.35	0.3	1	5.7	1	0.755:43.043	
TARM1,LAMC1	1,2	Prot	value<cut,cut<value<cut	6	6	1	0.17143	0.33333	1	1	1.2466	0.8991	1.7449		0.3	0.3	1	Inf	1	-Inf:Inf	
X00000064715,MYH15	3,1	Prot	value>cut,value<cut	6	6	1	0.17143	0.34314	1	1	1.8108	-2.3565			0.3	0.3	1	Inf	1	-Inf:Inf	
TNNT2,X00000058729	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33333	1	1	-2.361	-2.3497			0.3	0.3	1	Inf	1	-Inf:Inf	
FABP5,SMIM2	1,1	Prot	value<cut,value<cut	6	6	1	0.18095	0.35948	1	1	1.9859	-0.2587			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000064715,CTH	3,2	Prot	value>cut,cut<value<cut	6	6	1	0.17143	0.33333	1	1	1.789	-1.424	-0.73		0.3	0.3	1	Inf	1	-Inf:Inf	
TNNT2	3	NonProt	value>cut	11	10	0.90909	0.31429	0.56645	1	1	-0.50797				0.57895	0.52632	1	10.5263157894737	1	1.487:74.534	
X00000059200,LOC709056	2,1	NonProt	cut<value<cut,value<cut	7	6	0.85714	0.2	0.34314	1	1	-0.4896	2.59905	-0.44135		0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
X00000053012,X00000058729	1,2	NonProt	value<cut,cut<value<cut	7	6	0.85714	0.2	0.34951	1	1	2.57738	-4.5584	-2.37966		0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
LOC701920,SDK2	1,1	NonProt	value<cut,value<cut	8	7	0.91667	0.21905	0.40414	1	1	5.2655	-0.79103			0.42105	0.36842	1	7.36842105263158	1	0.998:54.391	
X00000053012,LOC702786	1,2	NonProt	value<cut,cut<value<cut	8	8	0.90278	0.2418	0.45636	1	1	2.58808	-4.97067	-1.20382		0.42105	0.42105	1	Inf	1	-Inf:Inf	
LOC702786,SDK2	2,1	NonProt	cut<value<cut,value<cut	8	6	0.86607	0.21429	0.38235	1	1	-4.97875	-1.59345	-0.86125		0.42105	0.31579	1	3.15789473684211	1	0.725:13.762	
RBM46,LOC701920	1,1	NonProt	value<cut,value<cut	7	6	0.88393	0.2	0.35723	1	1	-2.50768	5.255			0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
ESR1,TRIM16	1,1	NonProt	value<cut,value<cut	7	6	0.85714	0.2	0.35294	1	1	0.6029	-1.7125			0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
LOC709056,TMX2	1,1	NonProt	value<cut,value<cut	7	7	1	0.18708	0.3771	1	1	-0.42067	2.87764			0.36842	0.36842	1	Inf	1	-Inf:Inf	
LOC709056,LOC715623	1,1	NonProt	value<cut,value<cut	7	7	0.98413	0.20256	0.41018	1	1	-0.40878	-1.74797			0.36842	0.36842	1	Inf	1	-Inf:Inf	
TNNT2,KIR3DL0	3,1	NonProt	value>cut,value<cut	6	6	1	0.17143	0.34314	1	1	-0.4817	2.9035			0.31579	0.31579	1	Inf	1	-Inf:Inf	
TNNT2,TMX2	3,1	NonProt	value>cut,value<cut	6	6	1	0.17064	0.35049	1	1	-0.58397	2.87425			0.31579	0.31579	1	Inf	1	-Inf:Inf	
DLK1,MAOA	3,2	NonProt	value>cut,cut<value<cut	6	6	1	0.17738	0.36744	1	1	-0.05985	0.24542	0.69005		0.31579	0.31579	1	Inf	1	-Inf:Inf	
DLK1,X00000064313	3,1	NonProt	value>cut,value<cut	6	6	1	0.17143	0.35294	1	1	-0.1047	-2.6291			0.31579	0.31579	1	Inf	1	-Inf:Inf	
TNNT2,LTC4S	3,3	NonProt	value>cut,value>cut	6	6	1	0.18571	0.37956	1	1	-0.5371	0.6264			0.31579	0.31579	1	Inf	1	-Inf:Inf	
TNNT2,LOC702786	3,2	NonProt	value>cut,cut<value<cut	7	7	0.97024	0.19295	0.38653	1	1	-0.62828	-4.96937	-1.26129		0.36842	0.36842	1	Inf	1	-Inf:Inf	
X00000064313,LOC702786	1,2	NonProt	value<cut,cut<value<cut	6	6	0.97143	0.17714	0.3451	1	1	-2.64636	-4.95742	-1.46312		0.31579	0.31579	1	Inf	1	-Inf:Inf	
CFAP70,A1BG	3,1	NonProt	value>cut,value<cut	6	6	1	0.17024	0.34865	1	1	2.1855	-1.96038			0.31579	0.31579	1	Inf	1	-Inf:Inf	
DLK1,ESR1	3,1	NonProt	value>cut,value<cut	6	6	1	0.17024	0.35907	1	1	-0.0957	0.6029			0.31579	0.31579	1	Inf	1	-Inf:Inf	
