features	levels	decision	supportLHS	supportRHS	accuracyRHS	coverageLHS	coverageRHS	cuts	cut1	cut2	cut3	pValue	riskRatio	pValueRiskRatio	confIntRiskRatio	supportSetLHS	supportSetRHS	cut4	stabilityLHS	stabilityRHS	supportRatioLHS	supportRatioRHS	cut5
F5,OSCAR	1,1	Protected	7	7	1	0.17949	0.35	value<cut,value<cut	5.393	2.47388		0.110880110880111	Inf	0.108944610685276	-Inf:Inf	30028,29208,29211,29515,29483,29215,33252	30028,29208,29211,29515,29483,29215,33252						
FABP5	1	Protected	14	14	1	0.35897	0.7	value<cut	1.9987			4.11123881646684e-05	Inf	0.000110675135356786	-Inf:Inf	30027,29208,29299,29341,29511,29515,29482,29483,29528,28885,28890,29212,32371,33252	30027,29208,29299,29341,29511,29515,29482,29483,29528,28885,28890,29212,32371,33252						
FABP5	3	Non-protected	13	11	0.846153846153846	0.33333	0.57895	value>cut	2.415			0.0303268467895832	5.78947368421053	0.0279218991924637	1.472:22.774	30028,29523,28819,30412,28835,29484,30400,29014,31824,32342,32570,32575,32786	29523,28819,30412,28835,29484,30400,29014,31824,32342,32570,32575						
HEY1,TMEM40	3,3	Non-protected	9	7	0.777777777777778	0.23077	0.36842	value>cut,value>cut	-0.8857	3.289		1	3.68421052631579	1	0.872:15.559	28835,29511,29306,30400,28810,29215,31481,32342,32575	28835,29511,29306,30400,28810,32342,32575						
SIGLEC6,LY9	3,1	Non-protected	7	7	1	0.17949	0.36842	value>cut,value<cut	4.98415	2.57559		0.00982800982800983	Inf	0.00928806164987717	-Inf:Inf	30412,29484,28724,31824,32342,32371,32383	30412,29484,28724,31824,32342,32371,32383						
SIGLEC6,IGHV3-43	3,1	Non-protected	8	7	0.875	0.20513	0.36842	value>cut,value<cut	4.964	-0.6145		0.0528255528255528	7.36842105263158	0.0453291640146556	0.998:54.391	28819,29484,29306,31824,32342,32383,32570,33252	28819,29484,29306,31824,32342,32383,32570						
LTC4S	1	Protected	13	13	1	0.33333	0.65	value<cut	-0.4734			0.000104983419777636	Inf	0.000236696508159051	-Inf:Inf	30028,30027,28819,29208,29515,29482,29483,29528,30407,28885,28890,28949,33252	30028,30027,28819,29208,29515,29482,29483,29528,30407,28885,28890,28949,33252						
LTC4S,F5	3,3	Non-protected	8	7	0.875	0.20513	0.36842	value>cut,value>cut	0.5971	6.2645		0.264127764127764	7.36842105263158	0.226645820073278	0.998:54.391	30412,29511,28724,29212,32342,32371,32570,32576	30412,29511,28724,32342,32371,32570,32576						
LTC4S,OSCAR	1,1	Protected	7	7	1	0.17949	0.35	value<cut,value<cut	-0.42562	2.47277		0.0756000756000756	Inf	0.0742804163763244	-Inf:Inf	30028,29208,29515,29483,30407,28949,33252	30028,29208,29515,29483,30407,28949,33252						
TARM1,LTC4S	2,1	Protected	7	7	1	0.17949	0.35	cut<value<cut,value<cut	1.38175	2.00805	-0.40035	0.0554400554400555	Inf	0.0544723053426379	-Inf:Inf	30027,28819,29482,29483,28885,28890,33252	30027,28819,29482,29483,28885,28890,33252						
TARM1,THRB	1,1	Protected	7	7	1	0.17949	0.35	value<cut,value<cut	1.3367	-4.88353		0.0554400554400555	Inf	0.0544723053426379	-Inf:Inf	29211,29515,30407,28949,29212,32575,32786	29211,29515,30407,28949,29212,32575,32786						
THRB,LTC4S	1,1	Protected	7	7	1	0.17949	0.35	value<cut,value<cut	-4.8263	-0.4734		0.0554400554400555	Inf	0.0544723053426379	-Inf:Inf	30028,28819,29515,29483,30407,28949,33252	30028,28819,29515,29483,30407,28949,33252						
THRB,LTC4S	2,3	Non-protected	7	6	0.857142857142857	0.17949	0.31579	cut<value<cut,value>cut	-4.8763	-2.9111	0.5971	0.424116424116424	6.31578947368421	0.361257538986904	0.836:47.694	30412,29484,28724,31481,32342,32570,32576	30412,29484,28724,32342,32570,32576						
THRB,IGHV3-43	2,3	Protected	8	8	1	0.20513	0.4	cut<value<cut,value>cut	-4.8608	-3.1655	0.2639	0.00614250614250615	Inf	0.00681436104783684	-Inf:Inf	30027,29208,29341,29482,28724,28890,29215,32576	30027,29208,29341,29482,28724,28890,29215,32576						
TMEM38A,LTC4S	1,1	Protected	7	7	1	0.17949	0.35	value<cut,value<cut	2.77589	-0.4553		0.0554400554400555	Inf	0.0544723053426379	-Inf:Inf	30028,30027,29515,29483,30407,28949,33252	30028,30027,29515,29483,30407,28949,33252						
TMEM38A,LTC4S	2,2	Non-protected	9	6	0.666666666666667	0.23077	0.31579	cut<value<cut,cut<value<cut	2.7335	3.225	-0.4734	1	2.10526315789474	1	0.612:7.242	28835,29211,29299,30400,28808,29014,31824,32383,32575	28835,30400,29014,31824,32383,32575	0.5971					
TMEM38A,THRB	2,3	Non-protected	7	6	0.857142857142857	0.17949	0.31579	cut<value<cut,value>cut	2.7335	3.225	-3.1655	0.424116424116424	6.31578947368421	0.361257538986904	0.836:47.694	29523,28835,30400,28808,29014,32342,32383	29523,28835,30400,29014,32342,32383						
TMEM38A,VSTM1	1,1	Protected	7	7	1	0.17949	0.35	value<cut,value<cut	2.78339	4.38272		0.0756000756000756	Inf	0.0742804163763244	-Inf:Inf	30027,29515,29483,30407,28949,29215,33252	30027,29515,29483,30407,28949,29215,33252						
TMEM38A,OSCAR	1,1	Protected	9	9	1	0.23077	0.45	value<cut,value<cut	2.7784	2.47125		0.0118887215661409	Inf	0.0149802956877032	-Inf:Inf	30028,29515,29483,30407,28949,29215,31481,32786,33252	30028,29515,29483,30407,28949,29215,31481,32786,33252						
VSTM1	1	Protected	13	13	1	0.33333	0.65	value<cut	4.34514			0.000143159208787685	Inf	0.000322767965671433	-Inf:Inf	30027,28835,29208,29211,29515,29483,30407,28808,28885,28949,29212,29215,33252	30027,28835,29208,29211,29515,29483,30407,28808,28885,28949,29212,29215,33252						
VSTM1,F5	1,1	Protected	8	8	1	0.20513	0.4	value<cut,value<cut	4.474	5.5665		0.0307125307125308	Inf	0.0340718052391842	-Inf:Inf	30027,28835,29208,29211,29515,29483,29215,33252	30027,28835,29208,29211,29515,29483,29215,33252						
